,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.22056833559,8.79566982409,36.400541272,-10.3653585927,0.0,0.0,0.0,0.0
p076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-100.0,-100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.43243243243,42.7027027027,-10.2702702703,2.48648648649,0.0,0.0,0.0,0.0
p077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.540540540541,105.405405405,45.1737451737,-29.5752895753,0.0,0.0,0.0,0.0
p078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.724094881398,34.8314606742,40.8239700375,-17.9026217228,0.0,0.0,0.0,0.0
p079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5214384509,-17.0124481328,58.2295988935,-24.979253112,0.0,0.0,0.0,0.0
p080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.31432545202,25.173852573,40.1947148818,-0.528511821975,0.0,0.0,0.0,0.0
p081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.3651877133,26.9624573379,36.5187713311,40.8873720137,0.0,0.0,0.0,0.0
p082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.1145038168,46.5648854962,94.4020356234,-16.3358778626,0.0,0.0,0.0,0.0
p083,0.0,0.0,0.0,0.0,20.0,-100.0,-100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0098176718,59.8877980365,30.1542776999,40.7012622721,0.0,0.0,0.0,0.0
p084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48492159228,7.11700844391,-22.7985524729,-0.989143546441,0.0,0.0,0.0,0.0
p085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697954271961,-36.4620938628,-8.54392298436,9.16967509025,0.0,0.0,0.0,0.0
p086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,380.0,-12.435530086,34.0974212034,53.5816618911,7.96561604585,0.0,0.0,0.0,0.0
p087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85663924794,36.7802585194,11.8683901293,-24.4183313749,0.0,0.0,0.0,0.0
p088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6844207723,23.0359520639,42.7430093209,-2.2103861518,0.0,0.0,0.0,0.0
p089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.26019690577,38.3966244726,35.0210970464,-16.2869198312,0.0,0.0,0.0,0.0
p090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.4071246819,22.1374045802,22.1374045802,47.1755725191,0.0,0.0,0.0,0.0
p091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.57142857143,-42.1150278293,49.9072356215,5.08348794063,0.0,0.0,0.0,0.0
p092,0.0,0.0,0.0,0.0,-4.0,-100.0,-100.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0297482838,16.704805492,72.0823798627,-15.4233409611,0.0,0.0,0.0,0.0
p093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34730538922,-9.46107784431,31.2574850299,-33.3173652695,0.0,0.0,0.0,0.0
p094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15235792019,5.92503022975,20.9189842805,-10.6166868198,0.0,0.0,0.0,0.0
p095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.74595267746,9.09090909091,76.3387297634,-10.3362391034,0.0,0.0,0.0,0.0
p096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.320610687,83.2061068702,51.4503816794,29.7099236641,0.0,0.0,0.0,0.0
